timesteps,ent_coef,policy_loss,value_loss,entropy_loss,approx_kl,early_stopped,grad_norm,reward_mean,reward_std,avg_steps_survived,max_hover_streak,avg_final_dist,min_final_dist,effective_std_mean,total_param_norm,outcome_oob,outcome_attitude-ROLL,outcome_attitude-PITCH,outcome_hit,outcome_hover_success,outcome_moving_away_cap,outcome_drift,outcome_timeout
15000,0.01,0.002061438251985237,1.883398536592722,0.3073674086481333,0.007673229891224764,False,3.752749729901552,6.873249713804407,1.193930259569697,141.0,126,0.3795338078219207,0.37953380782192064,0.2240934818983078,20.437630557455122,0,0,0,0,0,20,0,0
30000,0.00985,-0.0006398261757567525,0.4650810027960688,0.2839049194008112,0.0053138813527766615,False,6.839209962636232,8.699474481264094,1.3942471022676326,148.0,133,0.37868938753875103,0.37868938753875103,0.2254081815481186,23.42230891622603,0,0,0,0,0,20,0,0
45000,0.0097,-0.0031840942101553082,0.36381334508769214,0.26943210512399673,0.008180266260751523,False,7.255045797675848,11.9852606332354,2.1528416829584742,176.0,161,0.3688250271155527,0.3688250271155527,0.2262451946735382,24.624227565713227,0,0,0,0,0,20,0,0
60000,0.00955,0.012269958111573942,3.4529252219945192,0.2389182150363922,0.012157750403275713,False,11.75882763415575,19.445356109983585,3.173705910583749,201.0,186,0.37069587773220647,0.37069587773220647,0.22795861959457397,25.453133853152394,0,0,0,0,0,20,0,0
75000,0.0094,0.0008306684321723878,0.38469728734344244,0.2045265194028616,0.01284861919702962,False,6.6816528886556625,15.058789155086492,1.8924641207433295,185.0,170,0.4023338794250506,0.4023338794250506,0.2299828678369522,26.063355774618685,0,0,0,0,0,20,0,0
90000,0.009250000000000001,-0.0034712403285084292,0.31776396185159683,0.17439007200300694,0.006238670146558434,False,6.221249103546143,15.10281863421514,1.615999230153629,187.0,172,0.41235221148467777,0.41235221148467777,0.23170062899589539,26.76987765915692,0,0,0,0,0,20,0,0
105000,0.0091,-0.002609711606055498,0.28220109443645924,0.16966506838798523,0.008439207027549855,False,6.06641810387373,14.281284722865655,1.4990609448220318,186.0,171,0.4270770322154064,0.4270770322154065,0.23191845417022705,27.115509054914583,0,0,0,0,0,20,0,0
120000,0.00895,-0.0028709366524708457,0.28670827159658074,0.14589600265026093,0.005245160893537104,False,6.573019377887249,15.482934497759379,1.8293216251188447,197.0,182,0.4160285523724544,0.41602855237245434,0.2333318442106247,27.216099913523067,0,0,0,0,0,20,0,0
135000,0.0088,0.00017153941735159606,0.24700040987227112,0.14483659714460373,0.00829342172073666,False,6.054371040314436,17.277266126821853,1.15551645396552,210.0,195,0.37791621305758416,0.3779162130575842,0.23338180780410767,27.343664031475782,0,0,0,0,0,20,0,0
150000,0.00865,-0.0006254127947613597,0.4506492577493191,0.13647717982530594,0.003973120852606371,False,8.31089848279953,20.382952730548162,4.066234843843516,212.0,197,0.36886357855607455,0.3688635785560746,0.2338419258594513,28.26523451308458,0,0,0,0,0,20,0,0
165000,0.0085,0.005753896737587638,1.8938590725883842,0.13754314929246902,0.006999199831625447,False,18.417559269815683,29.437677834760336,7.920709336849312,233.0,218,0.35012785770560056,0.3501278577056006,0.23384429514408112,29.679641157388687,0,0,0,0,20,0,0,0
