timesteps,ent_coef,policy_loss,value_loss,entropy_loss,approx_kl,early_stopped,grad_norm,reward_mean,reward_std,avg_steps_survived,max_hover_streak,avg_final_dist,min_final_dist,std_final_dist,effective_std_mean,total_param_norm,outcome_oob,outcome_attitude-ROLL,outcome_attitude-PITCH,outcome_hit,outcome_hover_success,outcome_moving_away_cap,outcome_drift,outcome_timeout
15000,0.005,0.029982152074808255,46.89477951475419,5.810315929353237,0.06874395880731754,True,147.7636165842414,31.59693652117461,1.1929084106454793,413.1,0,0.3009890274234769,0.30041588810703324,0.0009469143813858859,0.05702768638730049,175.85302014276385,0,0,0,20,0,0,0,0
30000,0.004985,0.02135266848199535,46.80443633114919,5.810348268598318,0.056404864706564695,True,148.2748672515154,31.34051516814274,1.3831023638814157,412.6,0,0.303283264521783,0.30081444197980467,0.0017029823932542957,0.05702756345272064,175.85319156944752,0,0,0,20,0,0,0,0
45000,0.0049700000000000005,0.016097437761345645,46.82573225465603,5.810337640345097,0.024474631776683964,True,160.16462551802397,30.660577400756743,1.3852739622341999,412.9,0,0.30326818837937497,0.3002366941195691,0.0013501207656836343,0.057027753442525864,175.8528220206499,0,0,0,20,0,0,0,0
60000,0.004955,0.018453277021762915,46.52741389058065,5.8102914821356535,0.0411845181370154,True,155.0513089671731,31.289013888594177,1.6272975080952394,414.65,0,0.3013332676869615,0.30018189453431066,0.0009784835029464077,0.05702793225646019,175.85202876478434,0,0,0,20,0,0,0,0
75000,0.00494,0.018790556394378655,46.38660644274205,5.81031396239996,0.036702558034448884,True,155.6243566200137,31.89543334960872,1.8537687664263105,414.6,103,0.3021701135302032,0.30104008388498804,0.0011035373087133929,0.05702763423323631,175.85151981562376,0,0,0,20,0,0,0,0
90000,0.004925,0.021322517030057497,27.824917274992913,5.810198875144124,0.09121738748217467,True,127.13138236105442,-42.50890819367066,6.473353298137496,840.55,0,0.3015930761996645,0.3005758929635954,0.001149325724382029,0.05702821910381317,175.85367484390736,0,0,0,20,0,0,0,0
105000,0.00491,0.016712842025299324,27.419674289878458,5.810208732262254,0.038641612729406916,True,130.8289714306593,-42.403179032738514,7.869373792689687,844.0,0,0.30132089391040134,0.3004539515438056,0.0011409572824582965,0.057028282433748245,175.85783567652106,0,0,0,20,0,0,0,0
120000,0.004895,0.021245600750262383,27.674986644648015,5.81008717417717,0.05086583639786113,True,127.09398716688156,-39.89170014413552,8.320754531412538,851.85,0,0.30157359338297784,0.30075733675680094,0.0009143417617532161,0.05702842026948929,175.86329773068428,0,0,0,20,0,0,0,0
135000,0.00488,0.01878246464912081,25.281256709014997,5.810138927772641,0.041772970274905674,True,122.52140014991164,63.82233492850651,8.990461825554322,831.15,0,0.3018642078824167,0.30011976274069974,0.0014704072545925618,0.057028528302907944,175.85873769968748,0,0,0,20,0,0,0,0
150000,0.004865,0.01727915968876914,25.072174313943833,5.810118190944195,0.050669650663621724,True,122.0161462277174,58.75557932547041,13.751774871769866,843.8,0,0.302047579551573,0.30028119589632746,0.0011698141387967752,0.05702859163284302,175.85475246235728,0,0,0,20,0,0,0,0
165000,0.00485,0.5087485068142996,17.99854346830398,5.8101502023637295,1.109239461904508,True,1070.6634005829692,-126.38974946476564,171.5700848720301,2277.8,0,0.30136658771372526,0.30040679083967003,0.0011031070162290265,0.05702866613864899,175.8553850390017,0,0,0,20,0,0,0,0
180000,0.004835,0.05351952051569242,19.094934530556202,5.810313567519188,2.643967418873217,True,172.5736834332347,-311.0776371467467,22.09668033669327,2451.5,0,0.3004347106954582,0.3001341500949855,0.00022989000098840427,0.05702842399477959,175.86139360070229,0,0,0,20,0,0,0,0
195000,0.00482,0.054438051862234715,34.137888971716166,5.810186341404915,1.2623719544208143,True,265.2373758405447,121.54996694530732,371.94677592880134,2417.9,0,0.30052938238011423,0.3002435317732042,0.0004242327535472009,0.05702858418226242,175.86174500733614,0,0,0,20,0,0,0,0
210000,0.004805,0.04450849621571251,37.160673424601555,5.810062624514103,0.08720546432596166,True,267.95661225914955,406.55339609117897,67.51391197241043,2468.25,0,0.3005444921259973,0.3001604353749432,0.0003053473731484235,0.057028647512197495,175.8602388650179,0,0,0,20,0,0,0,0
225000,0.00479,0.04967999811924528,31.626472856849432,5.810053210705519,0.35013796552084386,True,276.7336088716984,433.661648769288,70.15427271257306,2362.25,0,0.300359736725006,0.3000990423874792,0.0003460109736130254,0.05702861398458481,175.86304785311222,0,0,0,20,0,0,0,0
240000,0.004775,0.06151051365304738,37.120132461190224,5.810261571779847,0.15179276718117762,True,318.5344096124172,160.3774800668345,436.4010821030019,4039.15,0,14.87124059344767,0.3000097360339048,25.237925483738596,0.05702873319387436,175.8675363138318,0,5,0,15,0,0,0,0
255000,0.0047599999999999995,0.08700380186928669,265.07802426815033,5.8100008610636,0.14464156569738407,True,308.23466444015503,953.1699257057932,1260.8045717985667,3621.2,0,10.60129896814238,0.3002421850165066,16.882768059565496,0.05702861770987511,175.8655499778688,0,5,0,9,0,6,0,0
