timesteps,ent_coef,policy_loss,value_loss,entropy_loss,approx_kl,early_stopped,grad_norm,reward_mean,reward_std,avg_steps_survived,max_hover_streak,avg_final_dist,min_final_dist,effective_std_mean,total_param_norm,outcome_oob,outcome_attitude-ROLL,outcome_attitude-PITCH,outcome_hit,outcome_hover_success,outcome_moving_away_cap,outcome_drift,outcome_timeout
15000,0.01,0.022805952663475182,17.303863199427724,0.23356289323419333,0.03131881916488055,True,46.014270052313805,-41.14373056018558,10.432864282372103,136.0,0,0.5152434465059332,0.5152434465059333,0.22838692367076874,27.643721556290984,0,0,0,0,0,20,0,0
30000,0.00985,0.02049421255287598,8.910197124816477,0.19162397272884846,0.048064191767480224,True,31.147939760237932,-7.558581215410685,2.310497977327878,172.0,142,0.4963394372116913,0.49633943721169127,0.23108330368995667,29.368309184908867,0,0,0,0,0,20,0,0
45000,0.0097,0.012400695515680127,5.658884841948748,0.1486441269516945,0.03122553226421587,True,28.392125345766544,2.962465663485286,2.4434215222042965,183.0,153,0.5814749681458108,0.5814749681458108,0.23312926292419434,30.188828943297267,0,0,0,0,0,20,0,0
60000,0.00955,0.037136185470444616,7.373258280567825,0.09904651436954737,0.044362690721754916,True,54.925052143633366,-12.379466346135743,2.928527324267172,192.0,162,0.5117024028401442,0.5117024028401441,0.23631463944911957,31.058900574222207,0,0,0,0,0,20,0,0
75000,0.0094,0.021783153439173475,6.8457569582387805,0.045254044234752655,0.036165890109259635,True,52.53710354864597,-9.671907433579864,2.2473480662037324,189.0,159,0.4446813266322532,0.4446813266322532,0.2399316132068634,32.578385869041085,0,0,0,0,0,20,0,0
90000,0.009250000000000001,0.06541571223351639,13.012613268569112,-0.007506097666919231,0.06242262689920608,True,88.89225988090038,2.873397826240569,16.21997733014487,220.0,190,0.5564417486384978,0.5564417486384977,0.2425490766763687,33.88178498437628,0,0,0,0,0,20,0,0
105000,0.0091,0.04771428252570331,4.368755816249177,-0.08474751655012369,0.07069796141877305,True,29.67697500064969,-23.664991514312195,2.575113613411775,159.0,153,0.3437539556985317,0.34375395569853173,0.24815770983695984,36.163187962025404,0,20,0,0,0,0,0,0
120000,0.00895,0.033271432148467284,1.0396109758876264,-0.14227823447436094,0.03869918023701757,True,27.528586871922016,-6.736790912416192,2.303340402826969,152.0,148,0.31719246733515205,0.317192467335152,0.2509843111038208,37.16842286847532,0,20,0,0,0,0,0,0
135000,0.0088,0.02559038051549578,0.5203744554892182,-0.18901029601693153,0.038543856688193046,True,23.52761086076498,-1.1081178941071763,1.6340892453454823,142.0,141,0.27338869740563976,0.2733886974056398,0.254369854927063,37.55257853679359,0,20,0,0,0,0,0,0
150000,0.00865,0.022615718247834593,2.0263102632015944,-0.24413146451115608,0.04577070758386981,True,27.196414463222027,-5.823023936064855,4.221434887575836,174.0,144,0.4966022856910766,0.4966022856910765,0.2575080096721649,37.699732111766934,0,0,0,0,0,20,0,0
165000,0.0085,0.014490694287815131,2.165892018005252,-0.2611252833157778,0.04096864642633591,True,24.904981538653374,-15.311249841867888,3.9239092170553183,188.0,158,0.5646986479054019,0.5646986479054018,0.2585144340991974,38.17070945352316,0,0,0,0,0,20,0,0
180000,0.00835,0.018317835216294043,2.4447625135071576,-0.29632644448429346,0.026622573524946347,True,28.601628176867962,-13.235819470203367,4.306434431428074,189.0,159,0.6134612460274108,0.6134612460274108,0.26113441586494446,38.52872397378087,0,0,0,0,0,20,0,0
195000,0.0082,0.055060882412362844,5.006437555886805,-0.32253500632941723,0.09486895476584323,True,39.70102592557669,-9.400264883695016,7.870087388190675,168.0,160,0.3623668845728287,0.3623668845728286,0.26304879784584045,38.95246357657015,0,20,0,0,0,0,0,0
210000,0.00805,0.02505133327213116,2.869796945247799,-0.37544376496225595,0.043689507991075516,True,39.18404167145491,-11.80736186570341,16.268585462520633,185.0,181,0.3188434379455051,0.3188434379455052,0.2665846049785614,39.11657677870244,0,20,0,0,0,0,0,0
225000,0.0079,0.03779965394642204,5.968365275301039,-0.435504995752126,0.05693342942686286,True,50.761532582342625,-16.00544699334757,3.8727592034099394,166.0,136,0.4513938247982117,0.4513938247982118,0.2703830599784851,39.17077919631265,0,0,0,0,0,20,0,0
240000,0.007750000000000001,0.019407929823501036,4.183033098932356,-0.48181224009022117,0.035553423658711836,True,25.608981054276228,-21.37960019359667,4.289243429934265,168.0,138,0.526503659544362,0.526503659544362,0.27309566736221313,39.17399915214628,0,0,0,0,0,20,0,0
255000,0.0076,0.01983473535074154,4.521667694207281,-0.5295444685034454,0.023866841147537343,True,24.171929337084293,-20.41655127054093,4.209759132753381,170.0,140,0.60350016431314,0.6035001643131401,0.276194304227829,39.51289804838598,0,0,0,0,0,20,0,0
270000,0.00745,0.020556898438371718,3.7233511647209525,-0.5503652584739029,0.045221952721476555,True,31.195365209132433,-20.627012610079753,3.1200950171170447,173.0,143,0.6009366170641463,0.6009366170641463,0.27750906348228455,39.877586452290416,0,0,0,0,0,20,0,0
285000,0.0073,0.030291515300632454,4.14640290569514,-0.567018446046859,0.05143749939452391,True,38.17672369629145,-21.96991721710357,3.8457744907477425,158.0,128,0.4561771855301758,0.45617718553017567,0.2786572575569153,40.3618755992502,0,0,0,0,0,20,0,0
300000,0.007150000000000001,0.07106224310700782,5.776997095905244,-0.5817785756662488,0.09831125661730766,True,41.66145161539316,2.6366372028347977,12.717554372881951,175.0,165,0.3731416480416671,0.37314164804166716,0.2789640426635742,42.76554486528039,0,20,0,0,0,0,0,0
315000,0.006999999999999999,0.04064691671374021,4.331198999658227,-0.5661171413958073,0.04817661963170394,True,33.35405284166336,-6.508761090263095,15.898604112380555,161.0,160,0.2221980979298098,0.22219809792980982,0.27811291813850403,44.014228181447834,0,20,0,0,0,0,0,0
330000,0.006850000000000001,0.030485632989439182,2.7233635867014527,-0.5756575069390237,0.04049041344842408,True,38.737229719758034,-6.195095880178777,7.527995991562832,181.0,159,0.48188858878596347,0.4818885887859634,0.2789640426635742,45.12615148257464,0,20,0,0,0,0,0,0
345000,0.006699999999999999,0.03725054591632215,1.8432657048106194,-0.578328987583518,0.04901888992753811,True,38.127998396754265,-13.372929300499043,6.747911942076907,209.0,179,0.5835356869503119,0.583535686950312,0.2789640426635742,45.55225231638178,0,0,0,0,0,20,0,0
360000,0.00655,0.04031143674365012,1.967142938170582,-0.5672991080209613,0.037523429200518876,True,31.93677444010973,2.0238511652026987,3.8769177638819863,174.0,144,0.458570567764683,0.45857056776468297,0.2783662974834442,46.27065947372466,0,0,0,0,0,20,0,0
375000,0.0064,0.0291995796142146,2.4861320180352777,-0.5732640330679715,0.048354983460740186,True,35.12867219746113,-10.93980196800313,5.687458635255702,193.0,163,0.5382580850211951,0.5382580850211953,0.2789640426635742,47.04973117168993,0,0,0,0,0,20,0,0
390000,0.00625,0.03184932787553407,3.2130984254181385,-0.5700494712218642,0.06944606943579856,True,42.93274639546871,-15.683110247026871,3.969244011442703,186.0,156,0.49619095292219084,0.4961909529221908,0.27889353036880493,47.40484266914427,0,0,0,0,0,20,0,0
405000,0.0061,0.029391217918600887,1.1026913833338767,-0.5771601404994726,0.05406696876161732,True,35.59447143226862,-1.0122188222012427,4.56658190238211,124.0,123,0.20893156840134255,0.20893156840134255,0.27862977981567383,47.899365255609155,0,20,0,0,0,0,0,0
420000,0.0059499999999999996,0.043972775660222396,3.929055760614574,-0.5761855724267662,0.04304568632505834,True,45.76470199227333,-6.711185488007433,21.654310828181302,141.0,140,0.22230913916650846,0.2223091391665084,0.27892017364501953,48.50143097434193,0,20,0,0,0,0,0,0
435000,0.0058000000000000005,0.03706345786486054,2.4219807712361217,-0.5699939406476915,0.05085961350414436,True,42.36067897826433,-21.726601476401132,7.487768565722986,197.0,167,0.5393350454175022,0.5393350454175022,0.2789640426635742,49.093541791662574,0,0,0,0,0,20,0,0
450000,0.00565,0.026584963401546702,2.997781597543508,-0.5705761751160026,0.0522236319957301,True,38.71014131605625,-6.032162255960077,4.997668461387742,216.0,186,0.5474092969675792,0.5474092969675792,0.27880778908729553,49.725201673805714,0,0,0,0,0,20,0,0
465000,0.0055000000000000005,0.038968042586930096,2.1032048617489636,-0.553471714258194,0.05580491150612943,True,40.783604830503464,-16.821081502018608,4.285355456520782,213.0,183,0.5549782173183754,0.5549782173183755,0.27776509523391724,50.19591868855059,0,0,0,0,0,20,0,0
480000,0.00535,0.050707767077255994,2.0827044402249157,-0.5780201982706785,0.07818010517803486,True,40.2153779566288,6.650760713787008,7.280782398702394,127.0,126,0.15044371756618652,0.1504437175661865,0.2789640426635742,50.91812257282436,0,20,0,0,0,0,0,0
495000,0.005200000000000001,0.034736364761556615,2.887556681409478,-0.5751429279334843,0.054850701926625334,True,41.95520716905594,-12.25652773611804,7.674383364661655,138.0,137,0.1694993743292542,0.16949937432925416,0.2789640426635742,51.56909420713782,0,20,0,0,0,0,0,0
510000,0.00505,0.03839189674908994,2.0950292963534594,-0.5747038023546338,0.04268925315409433,True,41.10911698639393,-11.209258082537252,9.499530810316074,179.0,149,0.5315626654357247,0.5315626654357246,0.27891018986701965,51.68267418257892,0,0,0,0,0,20,0,0
525000,0.0049,0.030240449304983485,1.7187165692448616,-0.570002889726311,0.04553356648830231,True,34.0093859732151,0.4928050262472653,4.251964479971416,225.0,195,0.47170141752444605,0.471701417524446,0.27887994050979614,52.77245080843568,0,0,0,0,0,20,0,0
540000,0.00475,0.018910438040620647,4.316181363072246,-0.5770073612220585,0.03362692618975416,True,40.743845112621784,7.298807139894466,7.358854112912259,159.0,158,0.16078216444897586,0.16078216444897583,0.2789640426635742,53.1932237893343,0,20,0,0,0,0,0,0
555000,0.0046,0.016732403593778145,2.5118615054525435,-0.5645622052252293,0.036663642851635814,True,40.345503114163876,-6.920063032397171,4.5502868197437465,213.0,183,0.5594389145933418,0.5594389145933419,0.2779999375343323,53.998478922992945,0,0,0,0,0,20,0,0
